name,latitude,longitude,region,population
Carrières-sur-Seine,48.9108,2.2889,Île-de-France,15003
Vesoul,47.6222,6.1553,Bourgogne-Franche-Comté,14973
Saint-Avertin,47.3667,0.7267,Centre-Val de Loire,14968
Verrières-le-Buisson,48.7475,2.2628,Île-de-France,14941
La Flèche,47.6997,-0.0761,Pays de la Loire,14902
Senlis,49.2072,2.5867,Hauts-de-France,14891
Pontivy,48.0686,-2.9628,Bretagne,14889
Saint-Brice-sous-Forêt,48.9986,2.3569,Île-de-France,14875
Guipavas,48.4336,-4.4008,Bretagne,14842
Valenton,48.745,2.4672,Île-de-France,14837
Crépy-en-Valois,49.2344,2.8875,Hauts-de-France,14796
Montargis,47.9969,2.7325,Centre-Val de Loire,14789
Bouc-Bel-Air,43.4544,5.4144,Provence-Alpes-Côte d’Azur,14784
Flers,48.7483,-0.5694,Normandie,14779
Haubourdin,50.6092,2.9869,Hauts-de-France,14775
Trélazé,47.4461,-0.4664,Pays de la Loire,14759
Coulommiers,48.8156,3.0836,Île-de-France,14757
Wattignies,50.585,3.0431,Hauts-de-France,14736
Bar-le-Duc,48.7717,5.1672,Grand Est,14733
Longwy,49.5197,5.7606,Grand Est,14730
Morlaix,48.5775,-3.8278,Bretagne,14729
Saint-Omer,50.7483,2.2608,Hauts-de-France,14726
Le Raincy,48.8992,2.5231,Île-de-France,14708
Tulle,45.2658,1.7722,Nouvelle-Aquitaine,14705
Illzach,47.7822,7.3481,Grand Est,14680
Mennecy,48.5653,2.4361,Île-de-France,14679
Francheville,45.7364,4.7636,Auvergne-Rhône-Alpes,14656
Roquebrune-sur-Argens,43.4433,6.6378,Provence-Alpes-Côte d’Azur,14626
Méru,49.2358,2.135,Hauts-de-France,14609
Hautmont,50.2481,3.9244,Hauts-de-France,14601
Villers-lès-Nancy,48.6731,6.1547,Grand Est,14558
Les Sables-d’Olonne,46.4972,-1.7833,Pays de la Loire,14545
Wittenheim,47.8075,7.3369,Grand Est,14541
Caudry,50.125,3.4117,Hauts-de-France,14487
Ramonville-Saint-Agne,43.5461,1.4756,Occitanie,14467
Pont-à-Mousson,48.9044,6.0542,Grand Est,14434
Château-d’Olonne,46.5042,-1.7372,Pays de la Loire,14411
Arnouville-lès-Gonesse,48.9872,2.4167,Île-de-France,14329
Romilly-sur-Seine,48.5158,3.7267,Grand Est,14328
Bois-Guillaume,49.47,1.1194,Normandie,14309
Laxou,48.6856,6.1522,Grand Est,14300
Dinan,48.4556,-2.0503,Bretagne,14281
Lognes,48.8361,2.6278,Île-de-France,14268
Canteleu,49.4511,1.0361,Normandie,14244
Fameck,49.2992,6.1097,Grand Est,14243
Sainte-Maxime,43.3089,6.6378,Provence-Alpes-Côte d’Azur,14240
Chenôve,47.2911,5.0072,Bourgogne-Franche-Comté,14216
Ambérieu-en-Bugey,45.9581,5.3578,Auvergne-Rhône-Alpes,14204
